Artista,Biografia,Listeners,Playcount,Artistas Similares
Maude Latour,"Maude Latour, 23, is an indie-pop artist from New York City. She graduated from Columbia University in New York City with a degree in philosophy and political science in 2022. 

After releasing her debut EP Starsick EP and a handful of singles, Latour signed to Warner Records, a deal which gave Latour the rights to her own masters. Her first single under Warner Records, Clean, was released in August 2021, followed by her second EP Strangers Forever EP in October <a href=""https://www.last.fm/music/Maude+Latour"">Read more on Last.fm</a>",229130,5115441,Ella Jane
The Relevance,"The Relevance is an experimental rock/pop/electronic concept from the United Kingdom. <a href=""https://www.last.fm/music/The+Relevance"">Read more on Last.fm</a>",119,510,fyaopo
Landon Barker," <a href=""https://www.last.fm/music/Landon+Barker"">Read more on Last.fm</a>",15842,104051,jxdn
Pop 2024," <a href=""https://www.last.fm/music/Pop+2024"">Read more on Last.fm</a>",2,4,
Anthem Lights,"Anthem Lights is a pop/rock Christian boy band consisting of members Chad Graham, Caleb Grimm, Alan Powell, and Joey Stamper. The project began as a solo effort by Graham in collaboration with Powell. After deciding that the songs they had written would be better suited for a group, they joined with Grimm and former member Kyle Kupecky and released their first EP as a group under the name Yellow Cavalier. After changing their name to Anthem Lights <a href=""https://www.last.fm/music/Anthem+Lights"">Read more on Last.fm</a>",138210,1527639,Tenth Avenue North
Laura Gatz," <a href=""https://www.last.fm/music/Laura+Gatz"">Read more on Last.fm</a>",4,27,
Variation 5," <a href=""https://www.last.fm/music/Variation+5"">Read more on Last.fm</a>",373,1080,Geeno Smith
Natalie Summer," <a href=""https://www.last.fm/music/Natalie+Summer"">Read more on Last.fm</a>",16373,71387,Amelia Khor
Jenny Jewel," <a href=""https://www.last.fm/music/Jenny+Jewel"">Read more on Last.fm</a>",982,3807,Don Blaine
R!,"R! are a band bringing together 5 Melbourne musicians from several other bands who were looking for something else... Something extraordinary which involved imagery of pirates and pirate cats, yet with music which had absolutely nothing to do with either of those things.

The result is R!. Playing funky jazz grooves that rock your shoulders and the sides of your mouth, R! enjoy being poetic, yet tolerable. Some may even say enjoyable, or danceable.  <a href=""https://www.last.fm/music/R%21"">Read more on Last.fm</a>",224,1198,Try the Fish
Ava Max,"Amanda Ava Koci (born February 16, 1994), known professionally as Ava Max, is an American singer and songwriter. Ava first got her start in the music industry in 2008 as Amanda Kay, in which she released her first EP titled “Amanda Kay” that year. The EP featured 6 songs that were co-written and produced by Kevin Rudolf. 

Ava would then restart her music career under the name AVA in 2013 and release the single, “Take Away the Pain”.  A year later, she would meet music producer Cirkut and begin recording songs with him. <a href=""https://www.last.fm/music/Ava+Max"">Read more on Last.fm</a>",1218007,51305733,Bebe Rexha
Derefner," <a href=""https://www.last.fm/music/Derefner"">Read more on Last.fm</a>",7143,31316,LIL' KIM NATION
Isabel Walker," <a href=""https://www.last.fm/music/Isabel+Walker"">Read more on Last.fm</a>",32,49,
The Bedtime Orchestra," <a href=""https://www.last.fm/music/The+Bedtime+Orchestra"">Read more on Last.fm</a>",15280,88893,Alec Dufner
Ultimate Pop Hits," <a href=""https://www.last.fm/music/Ultimate+Pop+Hits"">Read more on Last.fm</a>",6487,27065,Ultimate Dance Hits
Top 40 Hits," <a href=""https://www.last.fm/music/Top+40+Hits"">Read more on Last.fm</a>",5262,16983,The Xmas Specials
Polar States," <a href=""https://www.last.fm/music/Polar+States"">Read more on Last.fm</a>",3388,19042,Al Moses
Forest Blakk,"Growing up in Montreal, with time spent in Florida and Jamaica, the singer/songwriter first took up guitar as a refuge from his chaotic home life, then spent years learning to channel his most complex emotions into song. With his breakthrough single “If You Love Her” —a fall 2020 release that marks his Billboard debut— Blakk has brought his heart-on-sleeve songwriting to a whole new level of resonance, again proving music’s power to transform both audience and artist. <a href=""https://www.last.fm/music/Forest+Blakk"">Read more on Last.fm</a>",183618,1743433,Clinton Kane
Smyles," <a href=""https://www.last.fm/music/Smyles"">Read more on Last.fm</a>",15846,78353,Robbe
Thomas Headon,"Thomas Headon is a rockstar  (is he?) from Australia who is best known for his track Clean Me Up. However is more known for his minecraft twitch streams where he likes to be a gamer and he is always on time to them. He is quite short, and likes to sing his silly little songs about sofas and also releases songs way before he is meant to??  He also tries to find his wives through Twitter idk man he's very very odd but also kinda cool I guess. He also <a href=""https://www.last.fm/music/Thomas+Headon"">Read more on Last.fm</a>",175297,2529238,Baby Queen
Clara Sparks," <a href=""https://www.last.fm/music/Clara+Sparks"">Read more on Last.fm</a>",71,248,
Haedes," <a href=""https://www.last.fm/music/Haedes"">Read more on Last.fm</a>",526,4237,Paramod
Dua Lipa,"Dua Lipa (born August 22, 1995) is an English-Albanian singer-songwriter. She was born in London of refugee parents from The Republic of Kosovo, growing up between both countries until fully moving back to London at age 15.

Dua Lipa began to write her name in the music industry. Lipa gained attention from the specialized media as an artist after the release of her debut album in 2017,  ""Dua Lipa"" (self-titled). It won the third position on the UK Albums Chart and featured eight singles. <a href=""https://www.last.fm/music/Dua+Lipa"">Read more on Last.fm</a>",2613323,245592309,Katy Perry
Global Genius," <a href=""https://www.last.fm/music/Global+Genius"">Read more on Last.fm</a>",1600,9053,Butterfly Whisper
The Blue Misfits," <a href=""https://www.last.fm/music/The+Blue+Misfits"">Read more on Last.fm</a>",452,1031,the set up
MKTO,"MKTO is a Californian music duo consisting of Malcolm Kelley and Tony Oller. The two met in 2010 while filming the Nickelodeon television series Gigantic, in which they played best friends. They later formed a musical duo and came up with the name MKTO, which represents their combined initials. They elaborated upon the inspiration for their group name, saying ""it also stands for what our album kind of is: Misfit Kids and Total Outcasts – just like the kids we were in high school"". <a href=""https://www.last.fm/music/MKTO"">Read more on Last.fm</a>",923590,9287185,Andy Grammer
Makenzie," <a href=""https://www.last.fm/music/Makenzie"">Read more on Last.fm</a>",3712,14160,The Amours
Olivia Rodrigo,"Olivia Isabel Rodrigo (born February 20, 2003) is an American singer, songwriter, and actress. She gained recognition with her lead roles on the Disney television programs Bizaardvark and High School Musical: The Musical: The Series. After signing with Geffen and Interscope Records, Rodrigo released her debut single ""drivers license"" in 2021, which broke various records and became one of the best-selling songs of the year, propelling her to mainstream fame. She followed it up with the singles ""deja vu"" and ""good 4 u"". <a href=""https://www.last.fm/music/Olivia+Rodrigo"">Read more on Last.fm</a>",2332536,376568402,Taylor Swift
Top 40 Hip-Hop Hits," <a href=""https://www.last.fm/music/Top+40+Hip-Hop+Hits"">Read more on Last.fm</a>",2011,7067,Juicy J feat. Lil Wayne and 2 Chainz
The Living Strange,"From Brooklyn, New York, USA <a href=""https://www.last.fm/music/The+Living+Strange"">Read more on Last.fm</a>",981,5744,soklo
Jack Willis," <a href=""https://www.last.fm/music/Jack+Willis"">Read more on Last.fm</a>",977,2925,Austin Mackay
Gorillaz,"Gorillaz are a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. The band currently consists of four animated members: Murdoc Niccals (bass guitar) who formed the band, 2-D (lead vocals, keyboards), Noodle (guitar, vocals) and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews and animated shorts. In reality, Albarn is the only permanent musical contributor and often collaborates with other musicians. <a href=""https://www.last.fm/music/Gorillaz"">Read more on Last.fm</a>",5606929,362059542,Damon Albarn
F.E.A.T.S," <a href=""https://www.last.fm/music/F.E.A.T.S"">Read more on Last.fm</a>",1366,509376,Jack Duff
Bea And Her Business," <a href=""https://www.last.fm/music/Bea+And+Her+Business"">Read more on Last.fm</a>",47341,324506,
New West,"New West is a Toronto-based music collective formed in 2017. The group is comprised of four like-minded songwriters and instrumentalists from varying notable studio production and musical backgrounds: Kala Wita, Vella, Ben Key and Noel West.

The four members that make up New West met primarily through Noel. In 2017, Noel conducted separate studio sessions with Kala Wita, who was introduced to Noel via the Toronto music scene and childhood friend Ben Key with the intention of forming a collaborative project. <a href=""https://www.last.fm/music/New+West"">Read more on Last.fm</a>",584797,7825966,Alexander Stewart
David Smets," <a href=""https://www.last.fm/music/David+Smets"">Read more on Last.fm</a>",34,63,
Delx," <a href=""https://www.last.fm/music/Delx"">Read more on Last.fm</a>",182,982,Heinz Wilder
Bebe Rexha,"Bleta Rexha, known professionally as Bebe Rexha, is an American singer and songwriter. After signing with Warner Records in 2013, Rexha received songwriting credits on Eminem's single ""The Monster"" and has also contributed songwriting to songs recorded by Shinee, Selena Gomez and Nick Jonas. Rexha released her debut EP in 2015, I Don't Wanna Grow Up, which saw the moderate commercial success of the singles ""I Can't Stop Drinking About You"" and ""I'm Gonna Show You Crazy"". <a href=""https://www.last.fm/music/Bebe+Rexha"">Read more on Last.fm</a>",1194554,32070788,Rita Ora
La Roux,"There are multiple bands called La Roux/Laroux:

1: La Roux is the electropop project of Elly Jackson (born 12 March 1988 in London, United Kingdom; singer and keyboardist). It started as a duo in 2008 and became a solo project in 2011, when Jackson's songwriting and producing partner Ben Langmaid left the group. Her music is largely influenced by 80s pop music including Eurythmics, Depeche Mode, The Human League,  Heaven 17, Yazoo and Prince.

The <a href=""https://www.last.fm/music/La+Roux"">Read more on Last.fm</a>",1924214,40281655,Little Boots
bazzi,"Andrew Bazzi (born August 28, 1997), known by his surname, Bazzi (/ˈbɑːzi/ BAH-zee), is an American singer-songwriter and record producer. His song ""Mine"", released in October 2017, gained popularity in early 2018 when it became a meme through Musical.ly edits, and the use of a Snapchat lens filter featuring the song. It peaked at number 11 on the US Billboard Hot 100 and appeared on several international charts. He released his debut studio album COSMIC in 2018, which peaked at number 14 on the Billboard 200 chart. <a href=""https://www.last.fm/music/bazzi"">Read more on Last.fm</a>",1149435,28699089,
JZAC," <a href=""https://www.last.fm/music/JZAC"">Read more on Last.fm</a>",33851,291524,Ollie Joseph
Lannds,"""I just want to allow the universe to speak through me right now. What is it that I want to say? How do I truly feel?"" These are the questions Rania Woodard found herself asking alongside bandmate Brian Squillace while working on their debut album, Music For The Future. In the Spring of 2021, Woodard and Squillace decamped to a remote cabin in northern Georgia to work on their new album. Beginning each day with a clear intention to create without expectations <a href=""https://www.last.fm/music/Lannds"">Read more on Last.fm</a>",30000,121843,Baby Cool
Henry Arts," <a href=""https://www.last.fm/music/Henry+Arts"">Read more on Last.fm</a>",8,57,
Gen Shifders," <a href=""https://www.last.fm/music/Gen+Shifders"">Read more on Last.fm</a>",36,43,
Workout Music," <a href=""https://www.last.fm/music/Workout+Music"">Read more on Last.fm</a>",10225,97568,Workout Music Tv
20/20,"20/20 was formed in Tulsa, OK by high school friends Steve Allen (guitar, vocals) and Ron Flynt (bass, vocals). They're known today as a popular power pop band, preceding as well as being a part of the late 70s power pop boom among bands such as Cheap Trick, The Knack, and The Records. Tracks ""Cheri"" and ""Yellow Pills"" have been included in several multi-artist power pop collections, with the 'Yellow Pills' title becoming a sort of underground shorthand for the scene. <a href=""https://www.last.fm/music/20%2F20"">Read more on Last.fm</a>",19952,177672,Alex Chilton
The Whistlers,"The Whistlers is a project from Barcelona that began three young fans of hard music scene barely two years ago. Under the name DJ Ness, one of the three members produces since 12 years old, reason why it becomes the centerpiece of the group.

They are lovers of the Hard scene but not positioned in any particular style, producing from reggae-hardtek, hardtek to frenchcore and hardcore with their best weapon, the FL Studio.
We can say that somehow seek to innovate with a style that goes beyond the kickbass <a href=""https://www.last.fm/music/The+Whistlers"">Read more on Last.fm</a>",12739,126174,Venom Hardtek
Lady Gaga,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, (born March 28, 1986 in New York, NY) is an American singer, songwriter and actress. She is known for her image reinventions and musical versatility. Gaga began performing as a teenager, singing at open mic nights and acting in school plays. She studied at Collaborative Arts Project 21, through the New York University Tisch School of the Arts, before dropping out to pursue a career in music. <a href=""https://www.last.fm/music/Lady+Gaga"">Read more on Last.fm</a>",6248960,609021834,Madonna
Owl City,"Owl City is the solo electronica musical project by American singer-songwriter Adam Young.

Young also records under the names Sky Sailing, Port Blue, Color Therapy, Insect Airport, Seagull Orchestra and his own name, Adam Young.

Young started out making music in 2007 in his basement in his hometown of Owatonna, Minnesota, United States, later developing a following through his MySpace profile before being signed to Universal Republic. Young has released seven albums under the Owl City moniker: ""Maybe I'm Dreaming"" (2008) <a href=""https://www.last.fm/music/Owl+City"">Read more on Last.fm</a>",2283986,64129909,Sky Sailing
Emma Andrews," <a href=""https://www.last.fm/music/Emma+Andrews"">Read more on Last.fm</a>",19,26,
Shitkid,"ShitKid is the project of 28-year-old Åsa Söderqvist based in Stockholm, Sweden. Born in 1992 and growing up in the northern part of Sweden, Åsa was a shy kid and in 2008 she moved away from home to study music, guitar and singing, for high school. Struggling with shyness and blackouts whenever she tried to perform in front of an audience, she turned away from music in favour of partying and boys.

After having her heart broken she returned to music 16 years old <a href=""https://www.last.fm/music/Shitkid"">Read more on Last.fm</a>",85995,900677,
benee,"Stella Bennett (born January 30, 2000), known professionally as Benee (/ˈbɛniː/, stylized BENEE, formerly spelled Bene) is a New Zealand musician from Grey Lynn in Auckland.

Stella Rose Bennett was born and raised in the suburb of Grey Lynn in Auckland. She grew up in a ""really musical"" family with parents who would expose her to the catalogs of Radiohead, Björk, and Groove Armada. From the age of eight, BENEE began taking guitar lessons in primary school before starting saxophone lessons in high school. <a href=""https://www.last.fm/music/benee"">Read more on Last.fm</a>",814575,17060108,
Train to Mars," <a href=""https://www.last.fm/music/Train+to+Mars"">Read more on Last.fm</a>",5108,23207,TommyMuzzic
Tanner Patrick,"Tanner Patrick (born Tanner Patrick Howe on 25 May 1991) is a singer/songwriter from Dallas, Texas. Former vocalist of band Disco Curtis, started posting videos on YouTube in August of 2011 and and has since then released his single ""Merry Go Round"" off of his new album ""The Waiting Home””. 

Under the name Tanner Howe, was the vocalist and guitarist for Disco Curtis from 2008 until late 2010 when all the other members left the group. In July 2011 <a href=""https://www.last.fm/music/Tanner+Patrick"">Read more on Last.fm</a>",26687,219667,Ryan Cabrera
Ava Watson," <a href=""https://www.last.fm/music/Ava+Watson"">Read more on Last.fm</a>",263,1114,Clarice Morris
