canciones,artistas,género,tipo,año lanzamiento,año
WTF?,The Heavy,rock,track,2016,2020
Made Of Glass,Trapt,rock,track,2002,2020
Krill,Sea in the Sky,rock,track,2014,2020
River,Year Of The Rabbit,rock,track,2003,2020
Hero,Adelitas Way,rock,track,2023,2020
Djent 2020,Jared Dines,rock,track,2021,2020
VIII,BLACKSHAPE,rock,track,2021,2020
A Symptom of Being Human,Shinedown,rock,track,2023,2020
The Fire Inside - Rock Remix,Adelitas Way,rock,track,2024,2020
Tendinitis,Jason Richardson,rock,track,2018,2020
Ctrl Alt Del,Elitist,rock,track,2021,2020
affinity,alt.,rock,track,2020,2020
Seasons to Cycles - Alternate Take,10 Years,rock,track,2022,2020
General Hospital,Alcatrazz,rock,track,2024,2020
Birth--Death,10 Years,rock,track,2012,2020
Running In Place - Alternate Take,10 Years,rock,track,2022,2020
Loser's Salute,Hinder,rock,track,2017,2020
Ash and Dust,Year of the Cobra,rock,track,2019,2020
Soft,Motionless In White,rock,track,2024,2020
Just Barely Breathing - Demo,Killswitch Engage,rock,track,2002,2020
Shapeshifter,QuietKind,rock,track,2018,2020
Say Goodbye - Alternate Take,10 Years,rock,track,2022,2020
Slow Burn,LIMBS,rock,track,2022,2020
Numbered,Elitist,rock,track,2015,2020
All American Nightmare,Hinder,rock,track,2022,2020
Rockstar,Shim,rock,track,2024,2020
Control,Here's to Now,rock,track,2022,2020
Collapsing,LEAV/E/ARTH,rock,track,2019,2020
Separate,Archetypes Collide,rock,track,2023,2020
Serenity,Sea in the Sky,rock,track,2014,2020
Rock,Tooly?,rock,track,2024,2020
Bait & Switch,Saliva,rock,track,2004,2020
Visions,Sea in the Sky,rock,track,2014,2020
Built into the Breed,Smile Empty Soul,rock,track,2018,2020
Bombshell,Halestorm,rock,track,2022,2020
Meant To Be,Trapt,rock,track,2024,2020
Werewolf,Motionless In White,rock,track,2024,2020
Sisu,LEVELS,rock,track,2022,2020
Lights And Sounds,Yellowcard,rock,track,2020,2020
Orchestra of Wolves,Gallows,rock,track,2024,2020
Rectifier 2016,Ra,rock,track,2017,2020
2021: A Personal Space Odyssey,Pet Symmetry,rock,track,2021,2020
Hero,Marcus King,rock,track,2024,2020
Reptilia,The Relevance,rock,track,2021,2020
Radical!,Sea in the Sky,rock,track,2013,2020
Meticulous,Rainbow Kitten Surprise,rock,track,2024,2020
Ready,The Phantoms,rock,track,2024,2020
Remember the Lightning,20/20,rock,track,1979,2020
Foxy,Candlebox,rock,track,2024,2020
Year 8,Outline In Color,rock,track,2017,2020
Galax,Letters From The Colony,rock,track,2018,2020
Talk To Me,Hinder,rock,track,2012,2020
Blood and Heel,LIMBS,rock,track,2022,2020
Sign of Life,Motionless In White,rock,track,2024,2020
WRAITH,alt.,rock,track,2022,2020
60/30,Here's to Now,rock,track,2023,2020
Paralyzed,Skarlett Riot,rock,track,2017,2020
Be Kind,The Animal In Me,rock,track,2022,2020
Change Your Mind,Knox,rock,track,2024,2020
Djent 2020,I Built the Sky,rock,track,2020,2020
SVO,Rainbow Kitten Surprise,rock,track,2024,2020
Creator,We Rise the Tides,rock,track,2014,2020
RIVEN,As Lions And Lambs,rock,track,2019,2020
Stare,LIMBS,rock,track,2019,2020
Reset,Mutemath,rock,track,2019,2020
Little Sister,Queens of the Stone Age,rock,track,2020,2020
World Famous Rock Band,Graduating Life,rock,track,2017,2020
Your Misery - Remix,Archetypes Collide,rock,track,2020,2020
Djent 2015,Jared Dines,rock,track,2021,2020
In Despair,Year of the Cobra,rock,track,2019,2020
EEVEE,Ben Rosett,rock,track,2022,2020
Out Of It,Lit,rock,track,2022,2020
The Middle,Jimmy Eat World,rock,track,2023,2020
Alone,One Year Later,rock,track,2014,2020
Illustrious,Sincerely,rock,track,2023,2020
Skulls,Halestorm,rock,track,2018,2020
Coffee,Hinds,rock,track,2024,2020
Skydiver,Briston Maroney,rock,track,2024,2020
Snake In The Grass,Couch Slut,rock,track,2017,2020
Secrets,Amira Elfeky,rock,track,2024,2020
Year Of Ruin,Settle The Sky,rock,track,2021,2020
Awake,Godsmack,rock,track,2021,2020
Calling After Me,Wallows,rock,track,2024,2020
Meant To Be,Trapt,rock,track,2024,2020
Rival,Opponent,rock,track,2022,2020
Year of Ruin,Settle The Sky,rock,track,2020,2020
Elite,Deftones,rock,track,2024,2020
Spectre,Seeing Things,rock,track,2018,2020
Alone,Notions,rock,track,2021,2020
Shadows,Wolves At The Gate,rock,track,2022,2020
Back To Ruin,Against the Sun,rock,track,2022,2020
Into Her Garden,Colour Haze,rock,track,2017,2020
XL : III,Collapse//Revive,rock,track,2019,2020
Here Lies,Hidden Hospitals,rock,track,2020,2020
Phenomena,Yeah Yeah Yeahs,rock,track,2019,2020
Here Lies,Hidden Hospitals,rock,track,2020,2020
Lil Tune,Gus Dapperton,rock,track,2024,2020
Action Now,20/20,rock,track,1979,2020
2020-2021,Kyle Megna & The Monsoons,rock,track,2021,2020
Yours (feat. Bea Miller),Sueco,rock,track,2024,2020
Save Yourself,ONE OK ROCK,rock,track,2022,2020
Meta,Rogue,rock,track,2019,2020
Present Tense,FACS,rock,track,2021,2020
Heroes,Rev Theory,rock,track,2024,2020
Memories Deep,Marshmallow,rock,track,2024,2020
Bang Bang,The Bad Chapter,rock,track,2021,2020
Mushroom Cloud,Of Mice & Men,rock,track,2019,2020
alternative rock playlist,Catbreath?,rock,track,2024,2020
Doppelgänger,LEVELS,rock,track,2018,2020
Red Letters - Remastered 2013,DC Talk,rock,track,2024,2020
Shepherd of Fire,Avenged Sevenfold,rock,track,2024,2020
Vampire,Year Of No Light,rock,track,2013,2020
Cats,Bummer Girl,rock,track,2024,2020
Fighting Myself,Linkin Park,rock,track,2024,2020
Can't Look Away,Trapt,rock,track,2023,2020
Collapse,Mutemath,rock,track,2019,2020
Dead Don’t Die,Shinedown,rock,track,2024,2020
You First,Paramore,rock,track,2023,2020
Atlas Falls,Shinedown,rock,track,2024,2020
Grain of Salt,Coalesce,rock,track,1998,2020
The Chariot,Valley of the Sun,rock,track,2022,2020
Hold Me like a Grudge,Fall Out Boy,rock,track,2024,2020
2o19,Hayden Kolb,rock,track,2022,2020
209b,Anemic Royalty,rock,track,2022,2020
Arbores,Colour Haze,rock,track,2017,2020
Paths,One Year Later,rock,track,2012,2020
"Keep the Change, You Filthy Animal",All Time Low,rock,track,2024,2020
Wrong Breed,Ouri,rock,track,2021,2020
Cyberhex,Motionless In White,rock,track,2024,2020
Crime of the Scene,WYLDLIFE,rock,track,2020,2020
One Eyed Bastard,Green Day,rock,track,2024,2020
We Are,Colour Haze,rock,track,2019,2020
2020 (Instrumental),Scott Orr,rock,track,2022,2020
In the Air Tonight,In This Moment,rock,track,2023,2020
Neurosis,Sentinels,rock,track,2017,2020
Save Me,Survive This!,rock,track,2016,2020
Badlands,Colossus,rock,track,2014,2020
Year Of The Crow,The Decline,rock,track,2020,2020
60/30,Here's to Now,rock,track,2023,2020
1119,As Artifacts,rock,track,2012,2020
Paradise / Hell,Growing,rock,track,2015,2020
Denouement,As Artifacts,rock,track,2015,2020
Honeybrains,Royal Blood,rock,track,2022,2020
Evergreen,Wolves & Machines,rock,track,2021,2020
death,"nothing,nowhere.",rock,track,2024,2020
In My Head,Mike Shinoda,rock,track,2024,2020
Vessels,The Year Ends in Arson,rock,track,2009,2020
Voices,Sandrider,rock,track,2022,2020
D.I.Y.,Above the Broken,rock,track,2023,2020
Poem 2 Self - Demo Version,Taproot,rock,track,2023,2020
Oh No,Goodbye June,rock,track,2017,2020
Invisible,Rival Waves,rock,track,2023,2020
Year of the Snake,Fucked Up,rock,track,2017,2020
One Eyed Bastard,Green Day,rock,track,2024,2020
classic rock hits,Catbreath?,rock,track,2022,2020
Not the 1975,Knox,rock,track,2024,2020
IN MY REMAINS,Linkin Park,rock,track,2024,2020
In My Head,Mike Shinoda,rock,track,2024,2020
Tense,Flasher,rock,track,2016,2020
Track IV,Fucked Up,rock,track,2021,2020
Taking Up Space,Theories,rock,track,2019,2020
C’est comme ça,Paramore,rock,track,2024,2020
Double Life,We As Human,rock,track,2024,2020
Yours,Sueco,rock,track,2024,2020
GET UP,Shinedown,rock,track,2022,2020
Bath Salts,Highly Suspect,rock,track,2023,2020
3am,Matchbox Twenty,rock,track,2024,2020
The Middle,Jimmy Eat World,rock,track,2023,2020
Crossfire,Skillet,rock,track,2024,2020
Track XX,Fucked Up,rock,track,2021,2020
Monoform,Vessels,rock,track,2011,2020
Right now!,Johnny Yukon,rock,track,2024,2020
The Sermon,Year Of The Goat,rock,track,2015,2020
Vignette,Letters From The Colony,rock,track,2018,2020
Linger,Settle The Sky,rock,track,2021,2020
Holy Diver,Killswitch Engage,rock,track,2022,2020
feed me,So Pitted,rock,track,2016,2020
Picked Apart by Time,Orbs,rock,track,2016,2020
Year of the Snake,Fucked Up,rock,track,2017,2020
One Eyed Bastard,Green Day,rock,track,2024,2020
Six Feet Under The Influence,The Gift of Ghosts,rock,track,2011,2020
Track V,Fucked Up,rock,track,2021,2020
All American,The Giving Moon,rock,track,2018,2020
Natural Born Killer,Highly Suspect,rock,track,2024,2020
Slow Burn,RVNT,rock,track,2022,2020
Awake,Godsmack,rock,track,2022,2020
Year of the Ox,Fucked Up,rock,track,2010,2020
Morgue Than Words,Wednesday 13,rock,track,2020,2020
Year of Rust,Rumbletramp,rock,track,2014,2020
Silence,Brik,rock,track,2000,2020
Not the 1975,Knox,rock,track,2024,2020
IN MY REMAINS,Linkin Park,rock,track,2024,2020
Hourglass Principle,Shapist,rock,track,2017,2020
Year 3000,First to Eleven,rock,track,2024,2020
Sick of the Silence,Mother Mother,rock,track,2024,2020
In My Head,Mike Shinoda,rock,track,2024,2020
Taking Up Space,Theories,rock,track,2019,2020
C’est comme ça,Paramore,rock,track,2024,2020
Alien,Halestorm,rock,track,2024,2020
Found,isaur,rock,track,2022,2020
December,Quor,rock,track,2020,2020
Make Me Feel - 2019 demo,Burial Etiquette,rock,track,2019,2020
Create Me,Posture & the Grizzly,rock,track,2021,2020
Odds,Rosaline,rock,track,2019,2020
This Past Year,Give And Take,rock,track,2015,2020
Friendly Fire,Linkin Park,rock,track,2024,2020
Believe,Shiver.,rock,track,2020,2020
can u see me in the dark?,Halestorm,rock,track,2024,2020
Remedy,Cold,rock,track,2003,2020
Legendary,Halestorm,rock,track,2024,2020
Rotting in Vain,Korn,rock,track,2024,2020
Rats,tod.,rock,track,2002,2020
Blue,7eventh Sea,rock,track,2022,2020
Thick as Thieves,Shinedown,rock,track,2024,2020
Gløw,ØZWALD,rock,track,2023,2020
Dreamstorm,The Giving Moon,rock,track,2023,2020
Invisible Hand,✝✝✝ (Crosses),rock,track,2024,2020
Embrace the Plague,As Artifacts,rock,track,2012,2020
Friendly Fire,Linkin Park,rock,track,2024,2020
Jealousy,Longview,rock,track,2024,2020
I Miss the Misery,Halestorm,rock,track,2023,2020
Track XVIII,Fucked Up,rock,track,2021,2020
Enter (Fear),Bruised But Not Broken,rock,track,2014,2020
Maps,Yeah Yeah Yeahs,rock,track,2023,2020
SNEAKING OUT OF HEAVEN,Waterparks,rock,track,2023,2020
Eulogy,grandson,rock,track,2023,2020
Chroma Key,22,rock,track,2018,2020
Delusion:All,ONE OK ROCK,rock,track,2024,2020
Maktub,Gary Clark Jr.,rock,track,2024,2020
V,BLACKSHAPE,rock,track,2020,2020
Take Me,Papa Roach,rock,track,2022,2020
Chesa,Above This,rock,track,2015,2020
Are You Nervous?,Rock Kills Kid,rock,track,2024,2020
can u see me in the dark?,Halestorm,rock,track,2024,2020
Salvation,Skillet,rock,track,2023,2020
GRIEF II,Kala,rock,track,2020,2020
Tabula Rasa,Gryn,rock,track,2000,2020
Dead Don’t Die,Shinedown,rock,track,2024,2020
Twenty Something,Slik Toxik,rock,track,2015,2020
We Speak In Lowercase,Great Falls,rock,track,2018,2020
Endeavors,Of Tides & Currents,rock,track,2012,2020
On My Own,Survive This!,rock,track,2016,2020
Wait,Earshot,rock,track,2021,2020
Rest Easy,Years Apart,rock,track,2018,2020
"Me, Myself & Your Eyes",Knox,rock,track,2024,2020
Year of the Witch,Boy Rex,rock,track,2017,2020
Rock 2024,Chill Rock Music,rock,track,2024,2020
Hope,All-American Rock Party,rock,track,2024,2020
Supernatural,Barns Courtney,rock,track,2024,2020
Inertia,Gutter King,rock,track,2018,2020
Heavy MeNtal (Fuck Yeah),Halestorm,rock,track,2024,2020
The Obvious,Orgy,rock,track,2004,2020
Buried Nation,Shapes & Colors,rock,track,2016,2020
Fighting Myself,Linkin Park,rock,track,2024,2020
Track XII,Fucked Up,rock,track,2021,2020
Heavy MeNtal (Fuck Yeah),Halestorm,rock,track,2024,2020
Pushing Me Away,Linkin Park,rock,track,2024,2020
Whispers in the Dark,Year of the Locust,rock,track,2019,2020
Dellview,Yearbooks,rock,track,2018,2020
Closure,Brighter Than a Thousand Suns,rock,track,2022,2020
Twin Flame,Settle The Sky,rock,track,2021,2020
Rust,Böne,rock,track,2021,2020
Prisoners and Animals,Breathing Theory,rock,track,2020,2020
Vacant Sea,Dreadnought,rock,track,2017,2020
We Didn’t Start the Fire,Fall Out Boy,rock,track,2023,2020
Strange Eyes,Year Of The Rabbit,rock,track,2024,2020
Réalgar,Year Of No Light,rock,track,2021,2020
Planet Zero,Shinedown,rock,track,2024,2020
Hauntress,The Road to Milestone,rock,track,2019,2020
Paralyzed,Sueco,rock,track,2022,2020
We Speak In Lowercase,Great Falls,rock,track,2018,2020
Warhead,The Wraith,rock,track,2021,2020
#1 Crush,Silver Snakes,rock,track,2017,2020
2920,Narcoleptic Youth,rock,track,2004,2020
You Know,The Ansible,rock,track,2020,2020
"Me, Myself & Your Eyes",Knox,rock,track,2024,2020
Rock 2024,Chill Rock Music,rock,track,2024,2020
Savior,Rise Against,rock,track,2023,2020
Hope,All-American Rock Party,rock,track,2024,2020
Fade,Belle Noire,rock,track,2016,2020
Supernatural,Barns Courtney,rock,track,2024,2020
Tidal Wave,Beliefs,rock,track,2015,2020
Whispers in the Dark,Year of the Locust,rock,track,2019,2020
Orée (abbesse),Year Of No Light,rock,track,2013,2020
Contact,Human Impact,rock,track,2021,2020
Overture,Modern-Rock Ensemble,rock,track,2019,2020
Drown,CNTS,rock,track,2024,2020
We Didn’t Start the Fire,Fall Out Boy,rock,track,2023,2020
Already Over,Mike Shinoda,rock,track,2024,2020
Réalgar,Year Of No Light,rock,track,2021,2020
10 Days,Human Impact,rock,track,2021,2020
Track XIV,Fucked Up,rock,track,2021,2020
The Great Fish,Squalus,rock,track,2017,2020
Year of the Dragon,Fucked Up,rock,track,2014,2020
Another Life,Motionless In White,rock,track,2024,2020
Track XVIII,Fucked Up,rock,track,2021,2020
Year of the Scapegoat,Dagoba,rock,track,2003,2020
Is It the Moon,Fetch Tiger,rock,track,2024,2020
Paralyzed,Sueco,rock,track,2022,2020
Soma,Brighter Than a Thousand Suns,rock,track,2021,2020
The Weight of the World - Live,Antimatter,rock,track,2019,2020
Metanoia,Year Of No Light,rock,track,2010,2020
Creep,Sandrider,rock,track,2022,2020
Novocaine,The Band CAMINO,rock,track,2024,2020
haha,Feedtime,rock,track,2012,2020
Scatter,Sandrider,rock,track,2022,2020
Plastic Boxes,Highly Suspect,rock,track,2024,2020
Tides,Wolves & Machines,rock,track,2010,2020
Loose Tooth,The Holy Knives,rock,track,2018,2020
Deuil,Year Of No Light,rock,track,2013,2020
Killer Mode,Mellowscape,rock,track,2023,2020
Papercut,We Set Signals,rock,track,2020,2020
Fences,Paramore,rock,track,2024,2020
Blinding Lights,All Time Low,rock,track,2022,2020
Pariah,Samsara,rock,track,2019,2020
We Came Here to Rock,Q5,rock,track,2016,2020
Conversation,Hot Hot Heat,rock,track,2024,2020
Fossil Fuels,CURSE,rock,track,2018,2020
Creatures Of Habit,Settle The Sky,rock,track,2021,2020
2020 Fucked Me Up,Damian Lynn,rock,track,2020,2020
all down,Feedtime,rock,track,2012,2020
Sloth,Above the Broken,rock,track,2023,2020
Lines,Omnerod,rock,track,2019,2020
Terrible Things,Halestorm,rock,track,2024,2020
Ashes / Petals,Wolves & Machines,rock,track,2021,2020
Clockwork,Years Later,rock,track,2022,2020
Rotting in the Grave,Before You Fall,rock,track,2013,2020
Track IV,Fucked Up,rock,track,2021,2020
Track III,Fucked Up,rock,track,2021,2020
Dwell Upon the End,Black Sites,rock,track,2019,2020
Ailments,Wolves & Machines,rock,track,2010,2020
To Tame the Burning Blade,Substratum,rock,track,2018,2020
Track XI,Fucked Up,rock,track,2021,2020
Gift,Siop,rock,track,2006,2020
Evolution,Sentients,rock,track,2012,2020
Blue Reason,Urban Metal Junction,rock,track,2024,2020
P/A\M,Liars,rock,track,2018,2020
Summertime Voodoo - Edit,Highly Suspect,rock,track,2024,2020
Track X,Fucked Up,rock,track,2021,2020
Thick Skull,Paramore,rock,track,2024,2020
Herløv,Settle The Sky,rock,track,2021,2020
To Binge,Gorillaz,rock,track,2024,2020
Shiver Syringe,Curse Your Name,rock,track,2008,2020
Linger,Settle The Sky,rock,track,2020,2020
Track XVI,Fucked Up,rock,track,2021,2020
Amazonia,Gojira,rock,track,2022,2020
Track XV,Fucked Up,rock,track,2021,2020
An Easy Belief,Paper Rival,rock,track,2024,2020
Redline,The Ansible,rock,track,2019,2020
Track V,Fucked Up,rock,track,2021,2020
Especially in Michigan,Red Hot Chili Peppers,rock,track,2024,2020
Enemy,Leaving Haven,rock,track,2020,2020
Hope,We Are Vessel,rock,track,2021,2020
Rock Music,Catbreath?,rock,track,2022,2020
We Came Here to Rock,Q5,rock,track,2016,2020
Lies,Opponent,rock,track,2018,2020
1019,Purity Among Thieves,rock,track,2017,2020
Hindsight,Years Apart,rock,track,2017,2020
In My Head,Mike Shinoda,rock,track,2024,2020
Rock n Roller,KALEO,rock,track,2024,2020
Eclosion,Over,rock,track,2019,2020
Hold Me Up,Year Of The Rabbit,rock,track,2019,2020
Grim Sleeper,Bummer,rock,track,2019,2020
Track XXII,Fucked Up,rock,track,2021,2020
Profanation / Rédemption,Year Of No Light,rock,track,2013,2020
Track XX,Fucked Up,rock,track,2021,2020
Blue,HOURCAST,rock,track,2010,2020
Armada,Sandrider,rock,track,2022,2020
catalogue,julie,rock,track,2024,2020
Inertia,External,rock,track,2020,2020
